n_samples,n_features,pca_expl_ratio_1,pca_expl_ratio_2,pca_expl_ratio_3,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_cor_attr,nr_norm,nr_outliers,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,Filename,Device,CPU,GPU,RAM,Memory,Power Consumption,Energy Level,Best_Model
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,EdgeServer2,Hexa-core AMD Ryzen,Radeon Graphics,16GB,256GB,80W,High,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IoTDevice1,ARM Cortex-M0+,None,32KB,64KB,0.3W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IoTDevice2,ARM Cortex-A8,None,128MB,256MB,1W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IoTDevice3,ARM Cortex-A53,None,512MB,1GB,2W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IndustrialSensor1,ARM Cortex-M4,None,128KB,256KB,1W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IndustrialSensor2,ARM Cortex-A9,None,256KB,512KB,2W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,IndustrialGateway,Dual-core ARM Cortex-A7,None,1GB,4GB,5W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartCamera1,Quad-core ARM Cortex-A7,Mali GPU,2GB,16GB,10W,Moderate,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartCamera2,Octa-core Snapdragon,Adreno GPU,4GB,32GB,15W,Moderate,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,WearableDevice1,ARM Cortex-M0,None,64KB,128KB,0.5W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,WearableDevice2,ARM Cortex-A5,None,256MB,512MB,1W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartHomeHub1,Dual-core ARM Cortex-A9,Mali GPU,1GB,8GB,10W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartHomeHub2,Quad-core ARM Cortex-A53,Mali GPU,2GB,16GB,15W,Moderate,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartLight1,ARM Cortex-M0,None,32KB,64KB,0.3W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartLight2,ARM Cortex-M3,None,64KB,128KB,0.5W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartSpeaker1,Dual-core ARM Cortex-A7,Mali GPU,1GB,4GB,5W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartSpeaker2,Quad-core ARM Cortex-A53,Mali GPU,2GB,8GB,10W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,WearableCamera1,ARM Cortex-A7,Mali GPU,512MB,1GB,5W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,WearableCamera2,Octa-core Snapdragon,Adreno GPU,2GB,16GB,15W,Moderate,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartLock1,ARM Cortex-M4,None,128KB,256KB,1W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartLock2,ARM Cortex-A9,None,256MB,512MB,2W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartThermostat1,ARM Cortex-M0+,None,64KB,128KB,0.5W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartThermostat2,ARM Cortex-A5,None,256MB,512MB,1W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartWatch1,ARM Cortex-M4,None,256KB,512KB,2W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartWatch2,Dual-core ARM Cortex-A7,Mali GPU,512MB,1GB,5W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartScale1,ARM Cortex-M0+,None,32KB,64KB,0.3W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartScale2,ARM Cortex-A8,None,128MB,256MB,1W,Very Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartMirror1,Dual-core ARM Cortex-A9,Mali GPU,1GB,8GB,10W,Low,1D-CNN
8238,63,0.225915749,0.735603927,0.27646764,0.095291884,155.4877124,4.981056915,0.742487277,0.446204446,1.03e-41,0.026558165,0.032003302,0.020179443,0.023141294,0.015656407,0.017535506,0.102125516,0.080585462,0.073402728,0.025240672,0.134725922,0.826264622,1.006547028,0.054336589,0.10483945,0.005033888,0.012866271,0.095303453,0.132469198,0.0,0.0,0.0,0.0,0.172393254,0.352813661,155.4492375,725.9281703,0.017619254,0.060503905,0.996556651,0.020139878,0.225915749,0.256348864,0.173474992,0.361092048,0.0,0.0,bank-additional-full_normalised_1.csv,SmartMirror2,Quad-core ARM Cortex-A53,Mali GPU,2GB,16GB,15W,Moderate,1D-CNN
